"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that verifies user gets redirected to 'Login' page after logging out","3561","testSuccessfulLogout(ProductsTestData) [1] ProductsTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, url=https://www.saucedemo.com/)","","Mon Feb 23 07:25:19 UTC 2026","passed","Mon Feb 23 07:25:22 UTC 2026","","io.github.tahanima.e2e.ProductsTest","io.github.tahanima.e2e.ProductsTest","testSuccessfulLogout"
"Test that verifies user gets error message after submitting incorrect login credentials","820","testIncorrectLoginCredentials(LoginTestData) [5] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:25:33 UTC 2026","passed","Mon Feb 23 07:25:33 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","900","testIncorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=standard_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:25:30 UTC 2026","passed","Mon Feb 23 07:25:31 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","808","testIncorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:25:31 UTC 2026","passed","Mon Feb 23 07:25:32 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","938","testCorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","","Mon Feb 23 07:25:21 UTC 2026","passed","Mon Feb 23 07:25:22 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","814","testIncorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:25:29 UTC 2026","passed","Mon Feb 23 07:25:30 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","982","testCorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","","Mon Feb 23 07:25:22 UTC 2026","passed","Mon Feb 23 07:25:23 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the password is blank","2332","testBlankPassword(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","","Mon Feb 23 07:25:19 UTC 2026","passed","Mon Feb 23 07:25:21 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankPassword"
"Test that verifies user gets error message after submitting incorrect login credentials","838","testIncorrectLoginCredentials(LoginTestData) [6] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:25:34 UTC 2026","passed","Mon Feb 23 07:25:34 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the username is blank","881","testBlankUserName(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","","Mon Feb 23 07:25:35 UTC 2026","passed","Mon Feb 23 07:25:36 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankUserName"
